,Distribution,Parameters,Method,IMSE
0,f,"[5, 8]",MKDE,0.00971816799349246
1,f,"[5, 8]",DDE,0.009787071333788389
2,f,"[5, 8]",AKDE,0.009862192456895198
3,f,"[10, 14]",MKDE,0.004135351566088462
4,f,"[10, 14]",DDE,0.003798990251227519
5,f,"[10, 14]",AKDE,0.004669121975504777
6,f,"[20, 20]",MKDE,0.0034036731117629893
7,f,"[20, 20]",DDE,0.003266611161114875
8,f,"[20, 20]",AKDE,0.005562131208485145
9,beta,"[1.3, 2.5]",MKDE,0.05099894497834979
10,beta,"[1.3, 2.5]",DDE,0.0552616408631401
11,beta,"[1.3, 2.5]",AKDE,0.10446834694802452
12,beta,"[2.0, 5.0]",MKDE,0.05903419423561651
13,beta,"[2.0, 5.0]",DDE,0.07484874033800404
14,beta,"[2.0, 5.0]",AKDE,0.20365425156875994
15,beta,"[0.5, 0.5]",MKDE,0.19508611970991174
16,beta,"[0.5, 0.5]",DDE,0.19269371608365438
17,beta,"[0.5, 0.5]",AKDE,0.21093082651252562
18,bimodal,"[-2.0, 1.5, 0.6, 0.4, 0.6]",MKDE,0.013767088824473294
19,bimodal,"[-2.0, 1.5, 0.6, 0.4, 0.6]",DDE,0.012367429512563796
20,bimodal,"[-2.0, 1.5, 0.6, 0.4, 0.6]",AKDE,0.009104430259276465
21,bimodal,"[-2.0, 2.5, 0.6, 0.6, 0.5]",MKDE,0.012220139461144582
22,bimodal,"[-2.0, 2.5, 0.6, 0.6, 0.5]",DDE,0.011382442131277664
23,bimodal,"[-2.0, 2.5, 0.6, 0.6, 0.5]",AKDE,0.009040985153661883
24,bimodal,"[-1.0, 1.0, 0.5, 0.5, 0.7]",MKDE,0.009987810131882609
25,bimodal,"[-1.0, 1.0, 0.5, 0.5, 0.7]",DDE,0.008965899947536039
26,bimodal,"[-1.0, 1.0, 0.5, 0.5, 0.7]",AKDE,0.005856156915784645
